username,product_name,review,rating
D***i,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,suara bisa diset dengan equalizer sesuai selera dan mood. good overall,5
Chandra,Sony WI C100 Wireless In-Ear Headphones,"sesuai deskkripsi, murmer tp gak murahan suaranya",5
dony,SONY WF C700N / WF C700 / WFC700 / C700 Truly Wireless Headphones,twrbaikkk,5
Ilfandy,DualSense Wireless Controller PS5 / Stik Wireless PS / Stick PS5,Berfungsi dengan sempurna,5
andyk,LEGO Horizon Adventures PS5 Playstation 5 Game PS 5,keren..bikin refresing bgt ini game. sangat sangat refresh...,5
T***h,SONY a7cII / a7c II / a7c2 Sony Kamera Mirrorless Body Only,packing rapi barang ori kebetulan dapat potongan harga. menang banyak beli di sony center,5
Budi,Sony ZV E10 Sony ZVE10 Mirrorless Camera Kit 16-50mm,mantap 👍,5
Saudi,SONY WF C700N / WF C700 / WFC700 / C700 Truly Wireless Headphones,"suara : 9,5
sound stage :7,9
bas : 7 cukup
ANC : 8 ,UNTUK ANC KALAU DASARNYA SUNYI ANCNYA TIDAK ADA PERRUBAHAN ,AKAN TETAPI BILA KITA BERADA DI AREAL BISING ANCNYA SANGAT...",5
Y***h,Sony Playstation 5 PS5 DualSense Charging Station / Charging Stick PS5,"barang ori, segel sony indo. colokan kepala 2 indo.
proses dari order sampe kirim gesit cepet banget",5
B***i,"SONY Bravia X75K 43 Inch 4K HDR TV,Smart TV KD 43X75K","Barang sampai dengan selamat, meskipun deg2an karna ternyata dikirim pake motor 🥶",4
S***o,Sony ACCTRDCX Travel DC Charger Kit,Barang sudah sampai. pengiriman cepat.,5
teambooktwo,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"Aman, garansi Sony Indo, harga juga sesuai MSRP. pengiriman aman dan cepet. Thank u Sony Center",5
a***d,SONY a7cII / a7c II / a7c2 Sony Kamera Mirrorless Body Only,kamera hybrid paling oke🥰,5
a***i,Sony WI C100 Wireless In-Ear Headphones,"Bagus, bisa download aplikasi Sony nya juga, jadi bisa atur kebutuhan bass dan dll nya",5
Ahady,Sony MDR EX15AP / Sony EX15AP / MDR EX15AP / EX15AP InEar Headset,"Cakep, jernih cuma kabelnya tipis",5
K***x,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"Ternyata mungil ukurannya cocok buat cewe dan yg kepalanya kecil😝 but , Kualitas Suara memang gak kaleng2 🤩. Beliin Bini / bokin yg suka denger musik langsung AUTO ngaj...",5
Manu,Sony WH 1000XM5 / WH-1000XM5 / WH1000XM5 noise-cancelling headphones,"Detail produk sesuai deskripsi.
Pengiriman barang standar.
Barang diterima dengan baik.",4
A***d,Sony NP-BX1 Rechargeable Lithium-Ion Battery Pack,"Original produk, sesuai dengan deskripsi semoga harga tidak membohongi kualitas 😄😁🤣",5
Fadillah,Sony PS5 Slim Console Disc Edition Sony Playstation 5,barang nya sampai dengan selamat,5
Laurence,Sony Playstation 5 PS5 DualSense Charging Station / Charging Stick PS5,"Pengiriman cepat, build quality material premium. Berfungsi dengan baik",5
Kevin,Sony WF-C510 Truly WF C510 Wireless Earphone WFC510 Ear-phone Bluetooth C510,"Respon seller dan pengiriman cepat, produk diterima dengan baik",5
A***A,Sony HT-G700 Soundbar with Bluetooth Dolby Atmos,Sony HT-G700 adalah soundbar yang sangat baik dengan kualitas audio yang mumpuni dan fitur-fitur canggih seperti Dolby Atmos dan DTS:X. Soundbar ini sangat cocok bagi mer...,5
A***d,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"packaging nya aman, nyampenya juga cepet banget, Bestttt👍👍👍",5
G***h,Sony WF-C510 Truly WF C510 Wireless Earphone WFC510 Ear-phone Bluetooth C510,nice 🎣,5
Ongky,Sony Bravia Theatre Bar 8 Sound Bar HT-A8000 with SA-SW3 Speaker Home Theatre,Easy to install and a good sound quality,5
buday,PS5 Playstation 5 Dualsense Edge Wireless Controller Coal,"Barangnya udah nyampe, beneran sesuai harapan deh. Kalo soal kualitas, emang gak bisa bohong, ya kan? Produknya lancar jaya, fiturnya keren, dan gue suka banget sama desa...",5
H***A,Sony WF-C510 Truly WF C510 Wireless Earphone WFC510 Ear-phone Bluetooth C510,Saya suka. Kemasannya juga sangat rapi. Saya akan membelinya lagi.,5
Patriszky,Sony HT S400 2.1ch Soundbar with powerful wireless subwoofer | HT-S400,MANTAP,5
a***i,Sony WI C100 Wireless In-Ear Headphones,"Admin responsif. Barang sesuai deskripsi. Mendapat tote bag Sony. Review devicesnya, pas dengan budget dan kualitas, all genre lagu aman. Untuk yang tidak rewel suara coc...",5
A***n,Sony WF-C510 Truly WF C510 Wireless Earphone WFC510 Ear-phone Bluetooth C510,Pengiriman cepat-aman pakai buble tebal,5
R***a,SONY BC-QZ1 Charger for FZ100,Kabelnya lumayan panjang rupanya,5
Agustinus,Sony PS5 Slim Console Call of Duty - Black Ops 6 Bundle Dics Edition Sony Playstation 5,"barang ori, respon cepat, packing mantab",5
Bahtera,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,MANTAP!!!,5
Henry,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,Excellent!,5
K***t,SONY WH-ULT900 N Wireless Headphone Wear Noise Cancelling WHULT900N ULT-900,bagus,5
Yogi,Sony MDR EX15AP / Sony EX15AP / MDR EX15AP / EX15AP InEar Headset,pembelian kedua,5
Bambang,Sony MDR ZX310AP / Sony ZX310AP / ZX310AP / Overbands Headset,"Packingnya baik dan sesuai pesanan headphonenya, suaranya jernih 🎶🎵",5
Husnu,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"Barang sampai dengan selamat, dan mantap",5
B***y,Sony DualSense PS5 Dual-Sense Chroma Teal CFI-ZCT1G10 Stick PS 5,"box penyok (tidak sampai rusak), segel seperti sudah pernah dibuka, belum sempet di test pakai.",5
Rio,DualSense Wireless Controller PS5 / Stik Wireless PS / Stick PS5,jelek kualitas stikny,2
H***y,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Fast respon.berfungsi dengan baik untuk mendengarkan.suara mantab,5
Ade,Sony WI C100 Wireless In-Ear Headphones,Barang mantap and ori. seller responsif,5
Ronald,Sony DualSense PS5 Wireless Controller - Death Stranding 2 : On the Beach Limited Edition,Paket sdh diterima dgn baik. Thanks,5
Artho,SONY SRS-XB100 Extra Bass Bluetooth Speaker / SRS XB100 / SRSXB100,"kualitas produk Sony tidak diragukan
untuk harga segtu tpi dapat kualitas yg maksimal.
suaranya dan bass nya benar2 jernih.",5
Hadi,SONY WH-ULT900 N Wireless Headphone Wear Noise Cancelling WHULT900N ULT-900,"barang sesuai order, penjual ramah..pengiriman cepat",5
Venadya,SONY WF C700N / WF C700 / WFC700 / C700 Truly Wireless Headphones,beli hari ini eh langsung nyampe. mantap!!,5
M***i,PS5 Death Stranding 2 ON THE BEACH PS5 Standard Edition Game PS 5,"Barang bagus, kiriman lumayan cepat. Mungkin packaging nya yg terlalu polosan (box kaset dan bubblewrap aja) yg agak minus nya. Thanks anyway",5
S***n,Sony WH 1000XM5 / WH-1000XM5 / WH1000XM5 noise-cancelling headphones,"respon dan proses cepat, barang sesuai dengan yang dipesan",5
C***a,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Ga nyangka lagi libur gini tetep di kirim. Best pelayanannya. Headset nya juga okee bgt. Suara nya mantaap. Makasih ya,5
A***i,Sony WF-C510 Truly WF C510 Wireless Earphone WFC510 Ear-phone Bluetooth C510,Barang bagus,5
a***n,Sony DualSense PS5 Dual-Sense Chroma Pearl CFI-ZCT1G12 Stick PS 5,"Packing nya aman banget, pelayanan juga sangan fast respon",5
Wigunawan,Sony PS5 Slim Console Digital Edition Sony Playstation 5,Packing aman. semua berfungsi normal.,5
Eddy,Sony PS5 Slim Console Digital Edition Sony Playstation 5,"Barangnya lengkap dan bagus, berfungsi dengan baik, mantapppp",5
Yust,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,Recommwnded👍👍👍,5
enggar,Sony ZV E10 Sony ZVE10 Mirrorless Camera Kit 16-50mm,kualitas barang jempolan original fast respon,5
Goggle,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"barang sesuai deskripsi, pengiriman cepat, respon cepat, packing rapih. tks...",5
Eroll,SONY SRS-XB100 Extra Bass Bluetooth Speaker / SRS XB100 / SRSXB100,"sesuai diskripsi, suara bass nya ok, penjual ok, kurir ok",5
sahidhermawan,Sony Mdr 7506 Headphone Profesional / Sony Mdr-7506 / Sony 7056,suara sangat bagus sy jamin nge game pun tetep bagus ini headphone cakep abis,5
H***g,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,🙏🏻👍🏻,5
